model,dataset,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,brier
logistic_regression,original,0.6796666666666666,0.6583753032339091,0.36724676483712626,0.6201959306706858,0.461322869955157,0.7081149369197677,0.49044428075931484,0.20889842875229503
logistic_regression,age_moderate,0.66,0.6533037599472736,0.3523809523809524,0.6412961567445365,0.4548369855692143,0.707871753121356,0.4902119148688466,0.21372251444585125
logistic_regression,age_severe,0.6205,0.6390067941489461,0.3262618873445501,0.6721929163526752,0.4393006648608717,0.7074676293820858,0.4895970731752888,0.22131893608748018
logistic_regression,credit_limit_moderate,0.6955,0.6604463164508196,0.38015340364333655,0.5975885455915599,0.4646938177556402,0.7082747480233658,0.48869151844246966,0.20342202521987576
logistic_regression,credit_limit_severe,0.726,0.6676164488360156,0.4124792932081723,0.5629238884702336,0.47609942638623326,0.7078277284681953,0.48452167491508413,0.19343275281115166
logistic_regression,payment_amount_moderate,0.6648333333333334,0.6515504337879698,0.354468085106383,0.627731725697061,0.45308675550720695,0.7060067527044924,0.49037035115259864,0.21330090172474836
logistic_regression,payment_amount_severe,0.6516666666666666,0.6495726302762861,0.3459830440048446,0.6458176337603617,0.45057833859095686,0.7032699673975673,0.4899853448357482,0.2178843468580288
logistic_regression,mixed_moderate,0.6675,0.6505644750721287,0.3556611927398444,0.6201959306706858,0.452073606152156,0.7057729221290967,0.4879487579165904,0.2110877696239821
logistic_regression,mixed_severe,0.6786666666666666,0.6531468515680598,0.36421147763217354,0.6073850791258478,0.4553672316384181,0.703068066790398,0.4818515293956659,0.20697156605958328
gradient_boosting,original,0.7648333333333334,0.7119719319453043,0.47560975609756095,0.6171816126601356,0.5372253197769761,0.779238215463103,0.5541332466821663,0.18122401832129625
gradient_boosting,age_moderate,0.7613333333333333,0.7110739419045518,0.47005134055904163,0.6209495101733233,0.535064935064935,0.7792965924757191,0.5533265624816219,0.18226474876602208
gradient_boosting,age_severe,0.7561666666666667,0.7126132727717518,0.46263736263736266,0.6345139412207988,0.5351128058468383,0.779429634009996,0.5525500083177195,0.1841122661097526
gradient_boosting,credit_limit_moderate,0.769,0.7122187441491962,0.48243001786777845,0.6103993971363979,0.5389221556886228,0.7793396495540851,0.5525913683175344,0.1765743731527417
gradient_boosting,credit_limit_severe,0.775,0.7109446094069879,0.4928348909657321,0.5960813865862848,0.5395634379263301,0.7797906200396674,0.5551084365851284,0.16969310168009402
gradient_boosting,payment_amount_moderate,0.7516666666666667,0.7083753758020187,0.4556341861731083,0.6307460437076111,0.5290771175726928,0.7785608324755514,0.5542315998211639,0.18971532360978183
gradient_boosting,payment_amount_severe,0.7373333333333333,0.7056485887679724,0.4368340943683409,0.6488319517709118,0.522134627046695,0.7773073393289642,0.5522491969193913,0.20075317149110614
gradient_boosting,mixed_moderate,0.7815,0.6881383070763099,0.5058565153733529,0.520723436322532,0.5131823245451169,0.7569671432563827,0.5193004396040706,0.17518601609277085
gradient_boosting,mixed_severe,0.7815,0.6708716123392233,0.5064620355411955,0.4724943481537302,0.4888888888888889,0.7419128082874716,0.5093666105562162,0.17266144832755348
