dataset,model,explanation_drift,performance_drift,early_warning_index,drift_ratio,verdict
original,logistic_regression,0.0,0.0,0.0,,degrade together
age_moderate,logistic_regression,0.0034614045129208485,0.00284010989365137,0.0006212946192694787,1.2187572462101863,degrade together
age_severe,logistic_regression,0.013430601751319222,0.010686733746694039,0.002743868004625184,1.2567545959001742,degrade together
credit_limit_moderate,logistic_regression,0.00740649854677773,6.749933352339706e-05,0.007338999213254333,109.72698781107877,degrade together
credit_limit_severe,logistic_regression,0.02270528804063592,0.0,0.02270528804063592,,degrade together
payment_amount_moderate,logistic_regression,0.03354383806234386,0.004498049170181393,0.029045788892162465,7.4574191595578165,degrade together
payment_amount_severe,logistic_regression,0.03629563127268143,0.007049372815095382,0.029246258457586046,5.148774539907821,degrade together
mixed_moderate,logistic_regression,0.048357765246511135,0.006753158857416039,0.0416046063890951,7.160762284365138,degrade together
mixed_severe,logistic_regression,0.08093815211291017,0.01086299262858711,0.07007515948432305,7.450815339772292,explanation degrades first
original,gradient_boosting,0.0,0.0,0.0,,degrade together
age_moderate,gradient_boosting,0.0076777770159905424,0.0008807049095024077,0.006797072106488135,8.717763388339046,degrade together
age_severe,gradient_boosting,0.01825245602163934,0.0005702334621043619,0.01768222255953498,32.008742444333876,degrade together
credit_limit_moderate,gradient_boosting,0.012866888058440336,0.0007685579484771372,0.0120983301099632,16.74159779875479,degrade together
credit_limit_severe,gradient_boosting,0.02616313950977549,0.0,0.02616313950977549,,degrade together
payment_amount_moderate,gradient_boosting,0.022414339562900235,0.0019144469000517954,0.02049989266284844,11.707997522571043,degrade together
payment_amount_severe,gradient_boosting,0.04143291261205675,0.00491978214480612,0.036513130467250625,8.421696610244831,degrade together
mixed_moderate,gradient_boosting,0.06455642427300126,0.04163868859564207,0.02291773567735919,1.5503952321821628,degrade together
mixed_severe,gradient_boosting,0.16218651191147443,0.062138027607964136,0.1000484843035103,2.610100741123093,explanation degrades first
